"","Fire_ID","history","rbr","rbr_w_offset","Fire_Year","host_species","total_pixels","host_pct","Average.Recovery","Max_Overlap_Area","Max_Overlap_Percent","fire_area","isi_90","dc_90","dmc_90","ffmc_90","bui_90","fwi_90","recovery","mean_temperature","sum_precipitation_mm","sum_precipitation_m","x","y","median_tri","mean_tri","X","Cumulative_Years_Defol","Time_Since_Defol","window_opp","distance","weights","subclass"
"54","FOR54_2006_1619",1,612.85,354.98,2006,8071,9143,88.3,82.87,16984770.3374726,99.9999999999999,27.429,9.3,307.3,52.9,93,73,22.5,82.87,21.07,4974.64,4.97,-91.4564285504817,48.2456093032234,1.83711730708738,2.35132740175972,50,5,12,"4",0.688147473336282,1,"36"
"58","FOR61_2006_1624",1,593.43,414.59,2006,1864,2642,70.6,91.37,4172078.76703,100,7.926,9.4,305.7,52.1,93,72.2,22.5,91.37,20.97,5540.55,5.54,-91.2451148836158,48.1572413102501,1.54110350074224,2.15601322844885,55,5,11,"4",0.754880505824114,1,"37"
"59","FOR63_2006_1622",1,555.58,332.43,2006,3241,3496,92.7,81.7,5442504.07607024,100,10.488,7.1,318.4,46.4,91.1,67.3,20.3,81.7,20.98,5556.9,5.56,-91.3410704420142,48.2125711113686,1.45773797371133,2.04570852699779,53,5,12,"4",0.444751692863298,1,"38"
"60","FOR9_1996_467",1,449.32,346.08,1996,12020,14204,84.6,123.76,36573043.3166982,100,42.612,7.1,224.5,67.9,88,73.8,16.3,123.76,21.13,5580.06,5.58,-91.7014492514172,48.470631601228,0.707106781186548,0.982251617313643,37,13,2,"1",0.57754283704228,1,"39"
"62","GER92_1991_1201",1,666.29,401.26,1991,22818,22898,99.7,79.23,34808920.8997849,100,68.694,9,472.2,67.8,92.6,95.2,27.1,79.23,20.67,4661.06,4.66,-85.5567430172044,49.918959331423,0,0.216695319945807,471,3,5,"2",0.0558620670942788,1,"40"
"63","GOG4_1991_1464",1,556.56,437.94,1991,49780,54969,90.6,110.07,105327243.087777,100,164.907,10.4,118.4,48,91.6,48,21.4,110.07,20.46,4584.94,4.58,-81.5461997663133,48.0244598183,0.935414346693485,1.26235239668917,913,13,2,"1",0.486384715473984,1,"41"
"64","HEA11_2000_58",1,724.93,93.56,2000,1925,1960,98.2,62.67,3021400.60640483,99.9999999999998,5.88,5.6,331.3,42.4,89.5,63.8,16.5,62.67,20.26,5276.97,5.28,-83.9313739229153,49.2339683038052,0.5,0.381623774204941,850,7,11,"4",0.0331297875460106,1,"42"
"65","HEA14_1996_1039",1,520.05,229.15,1996,448,448,100,72.75,1983472.5986882,100,1.344,9.7,145,52.5,94.6,57.3,22.4,72.75,20.39,5158.51,5.16,-81.9456658855335,50.0158216284355,0.353553390593274,0.321149811366958,899,2,0,"1",0.0600027894553014,1,"43"
"66","HEA16_1992_418",1,535.28,491.16,1992,2476,2517,98.4,99.77,4060840.66349134,100,7.551,7.7,166.3,48.9,90.3,53.1,26.7,99.77,20.03,4989.07,4.99,-82.0726473523273,49.9284693977105,0.5,0.371551723789218,865,12,3,"2",0.0488870276177318,1,"44"
"67","HEA20_2010_1770",1,620.33,395.19,2010,1160,1202,96.5,87.56,3732153.50599456,100,3.606,7.7,218.6,63.8,90,64.2,20.4,87.56,20.59,5610.52,5.61,-81.9345060840492,48.9768643569534,0,0.155068229579066,936,2,0,"1",0.163860637888864,1,"45"
"68","HEA21_1991_512",1,426.4,300.23,1991,2534,2763,91.7,109.33,8615801.4837576,100,8.289,8.3,463.2,67,91.6,96.2,26,109.33,20.4,4412.43,4.41,-84.5553360347327,49.2239611024541,0.612372435695794,0.625484688700566,872,13,2,"1",0.131089312021001,1,"46"
"69","HEA27_1996_270",1,427.59,303.25,1996,4484,4501,99.6,107.55,29297374.4407561,100,13.503,8.4,179.9,61.2,90.8,65.4,21.6,107.55,21.23,4954.27,4.95,-84.955130665385,49.9867371674805,0.5,0.388913937844443,861,5,3,"2",0.136553883455283,1,"47"
"70","HEA31_2010_1768",1,443.59,202.5,2010,1322,1326,99.7,110.63,8200201.48387634,99.9999999999998,3.978,7.3,256.2,49.6,89.1,65.3,19.6,110.63,20.44,5313.37,5.31,-82.0468452033524,49.7593338091029,0.5,0.414329606639786,935,2,0,"1",0.0685874758157212,1,"48"
"71","HEA3_1999_1069",1,447.17,321.05,1999,376,402,93.5,108.79,1707986.7765728,100,1.206,14,99.9,41,91.7,42.1,22.5,108.79,20.34,5463.18,5.46,-84.5955124654891,49.4132124632742,0.707106781186548,0.76595095263287,900,11,4,"2",0.414531545123957,1,"49"
"72","HEA48_1995_222",1,321.18,248.94,1995,61824,77286,80,155.86,270206443.4498,99.9999999999999,231.858,8.6,483.1,77.1,90.5,107.8,25.9,155.86,20.46,4880.34,4.88,-83.7795138173219,48.8466456791832,0.612372435695794,0.750143993911147,859,9,6,"3",0.335890540387484,1,"50"
"73","HEA54_1995_1000",1,568.37,347.62,1995,34521,34548,99.9,88.54,53259662.2281285,100,103.644,6.4,431.3,60.4,83.9,88.1,19.4,88.54,21.06,5017.37,5.02,-85.0630382989351,50.0292419969366,0,0.257526193046093,1563,6,1,"1",0.117768230040013,1,"51"
"74","HEA63_2005_1511",1,658.79,256.79,2005,457,460,99.3,85.64,710188.375957708,100,1.38,9.2,438.5,41.6,89.5,65.6,20.5,85.64,20.49,5046.23,5.05,-83.7972305520999,49.4070743746178,0,0.224394808621346,918,2,0,"1",0.0751460540050799,1,"52"
"75","HEA9_2012_1920",1,390.92,297.79,2012,1331,1381,96.4,138.21,11507810.142445,99.9999999999999,4.143,12.7,87.3,35.3,89.7,36.2,20.6,138.21,20.86,5563.49,5.56,-82.6304357513491,48.7644675468567,0,0.326888530143763,949,2,0,"1",0.214132643899654,1,"53"
"77","KEN105_1995_1173",1,456.29,317.06,1995,528,580,91,107.06,1396853.35014503,100,1.74,5.7,252.9,85.2,86.9,92.3,18.3,107.06,20.39,5750.47,5.75,-93.5298429473111,50.2673061481295,0.707106781186548,0.804255643677554,1265,10,1,"1",0.498726899504962,1,"54"
"81","KEN27_2011_1832",1,574.25,143.48,2011,431,437,98.6,78.49,640700.430560421,100,1.311,6.5,256.7,40.1,90,57.7,13.9,78.49,21.18,5317.49,5.32,-93.5915744605751,50.2329382995913,0.790569415042095,0.985070131909153,1282,2,0,"1",0.13003371757871,1,"55"
"84","KEN91_2011_1748",1,502.54,266.69,2011,123,272,45.2,95.52,549471.069929542,100,0.816,5.1,250.9,33.7,89.9,49.1,13.7,95.52,20,3118.79,3.12,-94.5834253683491,49.3262191455129,0.612372435695794,0.891134521909034,1279,2,0,"1",0.369176893504463,1,"56"
"86","KLK13_2012_1856",1,578.42,198.8,2012,2293,3188,71.9,83.96,12600880.9192852,100,9.564,6.3,140.1,41.1,87,45.8,14.4,83.96,20.78,5362.14,5.36,-80.5145741746669,47.7649294959944,0.707106781186548,0.968958617303044,944,2,0,"1",0.435879849050524,1,"57"
"88","KLK5_2010_1772",1,536.08,446.05,2010,102,175,58.3,92.64,2329086.54565275,100,0.525,11.1,78.5,20.2,88.6,24.4,16.2,92.64,20.51,5484.13,5.48,-80.6556980774893,48.6003807616638,0.707106781186548,0.962720312057612,937,2,0,"1",0.588642658463169,1,"58"
"90","KLK9_2003_1496",1,502.32,50.62,2003,5,5,100,94.07,1814081.68216479,100,0.015,7.5,137.2,43.7,90.4,49.7,15.9,94.07,19.79,5934.71,5.93,-80.1402759410185,48.5946381347389,0.707106781186548,0.869574827237044,915,4,14,"4",0.156911287867611,1,"59"
"91","KLK9_2004_1508",1,539.37,-67.31,2004,697,697,100,81.85,1270226.71307962,100,2.091,3.6,201.2,12,81.9,20.7,5.6,81.85,19.74,6007.19,6.01,-80.1122633982513,48.6252652950323,0.353553390593274,0.34516085775473,917,3,15,"4",0.0598266658672633,1,"60"
"92","NIP108_2006_1651",1,562.39,317.27,2006,186,219,84.9,101.87,647276.590111686,100,0.657,5.2,300.4,35.6,88.2,53.3,14.4,101.87,19.77,5076.25,5.08,-87.0125627830023,49.3969224069054,1.92021747478484,2.37378077621066,1489,5,12,"4",0.649610056955818,1,"61"
"93","NIP12_1999_502",1,500.04,312.63,1999,88351,128286,68.9,110.92,483273956.634487,99.9999999999998,384.858,14.4,91.4,37.8,91.7,38.8,24,110.92,18.78,5243.32,5.24,-88.0690481158716,49.605563611457,0.790569415042095,1.40384569755708,1364,3,4,"2",0.799757108483703,1,"62"
"95","NIP154_1995_756",1,582.31,204.32,1995,25887,27184,95.2,74.71,46814100.4718383,100,81.552,8.3,458.5,66.6,87.1,95.3,25.8,74.71,20.2,4515.47,4.52,-86.3923197041073,49.7810370079001,0.5,0.450509355942673,1384,7,1,"1",0.162266222984818,1,"63"
"96","NIP16_2002_77",1,357.25,310.79,2002,5418,9396,57.7,137.81,38375903.6964257,99.9999999999999,28.188,4.3,146.5,23.7,86.3,30.7,8.9,137.81,17.9,1797.88,1.8,-88.5210232179708,48.4944872769025,0.612372435695794,0.959807278912164,1331,4,8,"3",0.384589462801653,1,"64"
"97","NIP17_2003_1485",1,449.46,98.64,2003,395,396,99.7,81.83,3486239.41128443,100,1.188,11.6,112.8,48.9,93.2,49.1,23.8,81.83,18.05,5360.41,5.36,-88.0708683805612,50.2281279154472,0.612372435695794,0.695368471798465,1431,4,10,"4",0.212218500580012,1,"65"
"99","NIP238_2006_1571",1,629.79,227.37,2006,1288,1795,71.8,92.9,2750906.09476909,100,5.385,4.9,439.2,37.5,85.7,62.3,11.2,92.9,19.13,5069.18,5.07,-87.0386265098876,49.1023569431044,2,2.67221169269277,1446,6,11,"4",0.910009251035648,1,"66"
"100","NIP245_2006_1605",1,599.85,291.94,2006,1661,2016,82.4,95.17,3161535.63562094,100,6.048,5.1,434.6,42.2,85.1,65.9,12.1,95.17,19.06,5427.22,5.43,-87.866142245259,49.2476079835021,0.866025403784439,1.21598996477405,1461,5,12,"4",0.462487808139531,1,"67"
"101","NIP24_2001_7",1,454.61,82.61,2001,90,90,100,64.05,1369533.36300991,100,0.27,8.3,180.9,57.9,91.2,63.3,21.3,64.05,19.9,4983.17,4.98,-86.9912453404263,50.9132849673204,0,0.265582737786838,65,3,8,"3",0.0871459861334593,1,"68"
"103","NIP262_2006_1567",1,602.29,396.73,2006,399,766,52.1,98.64,1354275.4655871,100,2.298,5.4,436,38.7,85.9,62.4,12.7,98.64,19.28,5090.97,5.09,-86.9554491165684,49.1822161542016,1.5,1.88124345637523,1442,5,12,"4",0.8605493457265,1,"69"
"106","NIP276_2006_1655",1,475.64,259.29,2006,948,1351,70.2,126.25,2858762.76206014,100,4.053,5,430.9,40,85.6,63.3,11.9,126.25,19.79,5256.95,5.26,-87.3358723724083,49.3490168704699,1.22474487139159,1.74537644048969,1492,5,12,"4",0.719739089903315,1,"70"
"107","NIP291_2006_1611",1,612.39,221.3,2006,501,651,77,63.58,996694.263498579,99.9999999999999,1.953,4.9,439.5,39.7,83.6,62.7,11,63.58,18.2,5237.64,5.24,-87.6222948543446,49.0050899688336,2.57390753524675,3.04376010927294,1466,5,12,"4",0.968708270230924,1,"71"
"108","NIP296_2006_1609",1,510.16,328.32,2006,852,1983,43,95.31,5837897.81083771,99.9999999999999,5.949,4.8,445.1,49.1,86.8,75.7,16.3,95.31,19.68,5233.28,5.23,-88.5148935417801,49.1837585078463,0.612372435695794,0.681166892611066,1464,5,12,"4",0.472559007570245,1,"72"
"109","NIP29_1997_412",1,430.51,340.85,1997,218,232,94,115.43,777937.533024555,100,0.696,4.8,218.7,52.3,87.9,58.9,13.4,115.43,16.01,4511.89,4.51,-88.4654101543597,49.6459683937362,0.612372435695794,0.82864090347167,1357,3,3,"2",0.23032098924529,1,"73"
"111","NIP323_2006_1607",1,417.33,304.2,2006,6786,8430,80.5,108.23,25136310.3134594,99.9999999999999,25.29,5.4,427,46.4,86.4,71.2,13.2,108.23,20.54,5440.6,5.44,-88.8573384701267,49.1940254328683,0.612372435695794,0.788862011101379,1462,5,12,"4",0.296528147810708,1,"74"
"112","NIP327_2006_1596",1,534.34,290.98,2006,2285,2614,87.4,114.62,6943554.73517447,99.9999999999999,7.842,4.9,440.6,53.5,88.3,80.9,16.6,114.62,17.79,5245.48,5.25,-88.906639016109,49.4482220889149,0.790569415042095,1.08096357255862,1454,5,12,"4",0.232210659099907,1,"75"
"113","NIP328_2006_1608",1,586.94,396.51,2006,1409,2142,65.8,96.6,3679558.36991433,100,6.426,5.4,440,52.6,88.3,80.2,18,96.6,20.54,5440.6,5.44,-88.9243909788793,49.2022722359743,0,0.510884800483535,1463,5,12,"4",0.211835513043196,1,"76"
"117","NIP344_2006_1643",1,493.64,211.08,2006,2298,3361,68.4,95.34,11748660.4735434,100,10.083,5.5,424.4,38,87.1,61.5,11.9,95.34,19.7,5079.3,5.08,-86.7037180709418,49.4517264828787,1.22474487139159,1.53346914486607,1482,5,12,"4",0.62793412403525,1,"77"
"118","NIP35_2010_1767",1,535.58,245.68,2010,210,210,100,79.72,919605.029837511,100,0.63,8.8,176.3,30.4,89,42.1,16.2,79.72,20.23,4682.18,4.68,-87.6440730764754,50.2571249874349,0.5,0.400463726441122,1511,2,0,"1",0.0685041437500805,1,"78"
"120","NIP380_2006_1663",1,535.27,252.32,2006,1292,1722,75,94.04,2733712.64210236,99.9999999999999,5.166,4.7,431.8,40.9,85.4,64.2,11.7,94.04,19.66,5539.76,5.54,-87.8187877256108,49.3042988866147,1.62018517460197,2.19650895696733,1498,5,12,"4",0.814247602981447,1,"79"
"129","NIP411_2006_1657",1,524.36,307.15,2006,6900,7091,97.3,106.14,13432995.7937651,100,21.273,6,427.4,37.6,86.5,60.6,13.1,106.14,19.6,5007.57,5.01,-86.5524658630578,49.279926260876,1.2747548783982,1.70748092650558,1494,5,12,"4",0.484090586565583,1,"80"
"132","NIP415_2006_1645",1,676.84,294.33,2006,345,659,52.4,85.1,1001005.09566005,100,1.977,6.6,442,40.5,88.7,64.7,18.1,85.1,19.52,5035.68,5.04,-86.7112469032969,49.4269694634968,1.11803398874989,1.42320934481053,1484,5,12,"4",0.659346139558181,1,"81"
"134","NIP428_2006_1646",1,584.81,233.37,2006,12052,17090,70.5,100.5,33544451.0540343,100,51.27,5.4,424.3,47,86.6,72.3,13.5,100.5,19.99,5701.7,5.7,-88.9281304843462,49.3789373249435,0.612372435695794,0.730613901614989,1485,5,10,"4",0.339309184106398,1,"82"
"139","NIP49_1996_366",1,429.67,270.12,1996,61419,66372,92.5,105.56,214293938.125148,100,199.116,7,235.2,71.2,89.9,80.3,20.7,105.56,19.99,4664.68,4.66,-87.2780413189822,49.3650853500169,0.866025403784439,1.20245017707598,1355,10,1,"1",0.433998654754145,1,"83"
"140","NIP51_1996_620",1,598.67,199.4,1996,56733,57375,98.9,70.28,227471983.104241,97.238277615771,172.125,8.5,199.6,59.2,89,65.4,18,70.28,20.14,4460.54,4.46,-87.2299740619295,50.6634902603295,0.612372435695794,0.782064454372733,289,2,3,"2",0.326169123982264,1,"84"
"142","NIP58_2003_1421",1,615.79,153.14,2003,1510,1619,93.3,80.61,12592536.0798012,99.9999999999998,4.857,9.3,272.1,70.6,91.4,83.8,26,80.61,20.12,5293.33,5.29,-87.6215574650574,49.9141960949464,0.5,0.465946672577157,1429,5,7,"3",0.180298484036631,1,"85"
"143","NIP60_1996_227",1,480.35,145.21,1996,13922,14130,98.5,101.11,37117188.0611087,100,42.39,9.4,205.8,60.2,89.6,66.4,20.5,101.11,20.24,4540.65,4.54,-86.6854022694347,50.6355076982536,0.612372435695794,0.742617004470474,172,3,3,"2",0.325083198173323,1,"86"
"144","NIP61_1996_318",1,612.97,367.92,1996,753,950,79.3,63.9,2745023.68079985,99.9999999999999,2.85,9.6,195.5,69.2,92.3,72.2,22.3,63.9,20.18,4606.58,4.61,-87.2904859779695,49.8213354846726,0.707106781186548,0.765368214084839,1352,5,3,"2",0.490411966720264,1,"87"
"146","NIP64_1996_782",1,481.77,243.17,1996,7059,7242,97.5,99.43,31412707.5044695,99.9999999999999,21.726,9.6,195,68.4,92.4,71.7,22.3,99.43,20.36,4639.62,4.64,-87.2848251173456,49.8642193711225,0.707106781186548,0.902622492748825,1385,5,3,"2",0.372584144431227,1,"88"
"147","NIP65_1996_1146",1,543.78,466.42,1996,2257,2262,99.8,87.36,4105948.18441408,100,6.786,9.8,192.4,66.3,89.9,70.1,22.3,87.36,20.11,4519.68,4.52,-87.020988802149,50.0098716687504,0.353553390593274,0.372736238745467,1414,5,3,"2",0.243191332039915,1,"89"
"149","NIP75_2002_76",1,491.29,130.27,2002,33490,38104,87.9,89.2,198832252.226525,99.9999999999998,114.312,4.7,316.2,49.1,87.6,68.1,12.4,89.2,19.7,5106.96,5.11,-86.9366168219474,49.0551819554882,1.62018517460197,2.27688102454962,1330,8,7,"3",0.700164339995183,1,"90"
