"","Fire_ID","history","rbr","rbr_w_offset","Fire_Year","host_species","total_pixels","host_pct","Average.Recovery","Max_Overlap_Area","Max_Overlap_Percent","fire_area","isi_90","dc_90","dmc_90","ffmc_90","bui_90","fwi_90","recovery","mean_temperature","sum_precipitation_mm","sum_precipitation_m","x","y","median_tri","mean_tri","X","Cumulative_Years_Defol","Time_Since_Defol","window_opp","window_opp_2","distance","weights","subclass"
"16","COC34_1997_475",1,637.26,166.47,1997,1823,2128,85.7,80.03,12341739.8821146,100,6.384,10.3,168.3,65.3,89.8,65.7,23.5,80.03,19.78,5695.44,5.7,-79.5268116839338,49.1532363117063,0.5,0.377753440986637,867,2,0,"1","1",0.232998344542367,1,"15"
"17","COC34_2006_1686",1,625.14,134.21,2006,276,276,100,74.74,433945.489338966,100,0.828,5.7,244.2,22.4,84.9,36,11.5,74.74,20.42,5395.55,5.4,-81.2190540157253,50.5129010904211,0.935414346693485,1.01815164630697,932,2,0,"1","1",0.301885525892666,1,"16"
"18","COC37_1995_372",1,515.16,291.61,1995,612,613,99.8,86.3,5427417.1850478,100,1.839,10.7,395.7,42.6,89.9,66.9,24.2,86.3,20.5,5284.14,5.28,-81.7651096597987,49.398042872306,0.612372435695794,0.509381668401714,863,9,6,"3","2",0.252275844848965,1,"17"
"19","COC38_1995_629",1,498.78,322.28,1995,32707,32756,99.9,94.02,58236688.8708414,99.9999999999998,98.268,9.8,482.1,51.5,89.4,80.2,24,94.02,20.56,5203.17,5.2,-81.5634388351299,50.1182286288802,0.612372435695794,0.671053984997931,879,2,14,"4","3",0.315952752458081,1,"18"
"20","COC8_2006_1649",1,580.7,416.49,2006,782,880,88.9,109.82,2355705.49075031,99.9999999999999,2.64,9.1,37.6,13.3,81.8,14.3,8.7,109.82,19.98,5378.32,5.38,-81.0461924596579,49.3967004618393,0.5,0.47045424946006,930,2,0,"1","1",0.406617846167288,1,"19"
"21","COC9_2002_100",1,346.07,350.61,2002,1746,1771,98.6,151.33,5579028.64493648,100,5.313,11.2,298.2,59.7,91.6,77.7,27.3,151.33,20.17,5452.98,5.45,-81.326204596097,50.1362867108635,0.612372435695794,0.626043813935922,854,2,0,"1","1",0.373164290911028,1,"20"
"25","DRY12_1996_1145",1,532.53,231.4,1996,5489,6157,89.2,82.97,19613135.6186356,99.9999999999999,18.471,9.6,218.8,69.3,92.5,74.5,22.3,82.97,20.62,5531.52,5.53,-91.0774706000467,49.2137402013582,0.612372435695794,0.651163781605189,1413,5,2,"1","1",0.389655639323333,1,"21"
"27","DRY18_1996_839",1,409.57,166.13,1996,2544,2972,85.6,104.98,14562461.0226415,99.9999999999999,8.916,10.8,183.5,69.4,92.7,72.6,25.5,104.98,20.91,5690.94,5.69,-91.9007413107029,49.5485172476986,0.612372435695794,0.718441748845958,1256,12,2,"1","1",0.44829195912103,1,"22"
"30","DRY26_1995_1350",1,441.33,318.01,1995,6335,6434,98.5,102.14,17367700.517563,100,19.302,5.5,283,91.8,89.2,96.1,20,102.14,20.62,5548.96,5.55,-91.4315601790553,49.2718241724345,0.612372435695794,0.670238383307211,1572,10,1,"1","1",0.427563570817813,1,"23"
"31","DRY29_1995_275",1,358.14,222.81,1995,7127,8025,88.8,124.35,24788540.432467,99.9999999999996,24.075,5,277.8,82.5,88.2,90.1,17.9,124.35,20.67,5694.99,5.69,-91.8486928512468,49.7618123041178,0.790569415042095,1.02623355065798,1245,12,1,"1","1",0.583469213075991,1,"24"
"32","DRY31_1996_1105",1,476.68,186.97,1996,36581,36846,99.3,89,128242748.268087,99.9999999999998,110.538,6.1,218.1,64.2,89.3,70.1,17.7,89,20.56,5207.18,5.21,-90.4019908421727,49.8204401270127,0.612372435695794,0.722876493452715,1404,3,2,"1","1",0.22042884459397,1,"25"
"33","DRY32_1995_703",1,436.46,158.22,1995,4680,4867,96.2,90.02,17016719.1073888,100,14.601,5.4,271.3,83.1,89.2,89.4,19.1,90.02,20.72,5725.54,5.73,-91.4278853376035,49.8318508491877,0.612372435695794,0.786264644120709,1558,11,1,"1","1",0.386767800954265,1,"26"
"34","DRY36_1996_957",1,557.49,279.74,1996,7889,9805,80.5,74.32,27686503.0837302,100,29.415,8.6,213.8,67.5,90.2,72.1,22.4,74.32,20.34,5712.74,5.71,-91.5332568380829,49.8638012644606,0.612372435695794,0.761465211258014,1562,12,2,"1","1",0.57219985667579,1,"27"
"43","FOR14_2005_1514",1,531.16,214.89,2005,2258,2413,93.6,101.47,6733199.89195599,100,7.239,5.6,281.8,34.8,89.1,50,13.6,101.47,21.19,4456.45,4.46,-91.6497557394623,48.2870695398921,1.06066017177982,1.52301439026231,45,6,11,"4","3",0.401083273455421,1,"28"
"50","FOR38_1995_439",1,424.01,298.42,1995,13327,18069,73.8,120.57,49517163.1581731,99.9999999999998,54.207,4.9,326.4,86.4,87.4,93.3,18.1,120.57,20.76,5506.95,5.51,-91.1687185602144,48.9826338168217,1.11803398874989,1.53557858589684,36,12,1,"1","1",0.852036105044624,1,"29"
"60","FOR9_1996_467",1,449.32,346.08,1996,12020,14204,84.6,123.76,36573043.3166982,100,42.612,7.1,224.5,67.9,88,73.8,16.3,123.76,21.13,5580.06,5.58,-91.7014492514172,48.470631601228,0.707106781186548,0.982251617313643,37,13,2,"1","1",0.720720093151245,1,"30"
"61","GER40_1991_716",1,285.62,239.43,1991,638,706,90.4,154.21,8397488.97617321,100,2.118,14.5,314.1,45.9,89.6,66.2,30.6,154.21,20.07,4664.81,4.66,-86.0674890600219,49.6215266367063,1.06066017177982,1.48254471688614,1378,8,1,"1","1",0.392476218051733,1,"31"
"62","GER92_1991_1201",1,666.29,401.26,1991,22818,22898,99.7,79.23,34808920.8997849,100,68.694,9,472.2,67.8,92.6,95.2,27.1,79.23,20.67,4661.06,4.66,-85.5567430172044,49.918959331423,0,0.216695319945807,471,3,5,"2","2",0.133626459014795,1,"32"
"64","HEA11_2000_58",1,724.93,93.56,2000,1925,1960,98.2,62.67,3021400.60640483,99.9999999999998,5.88,5.6,331.3,42.4,89.5,63.8,16.5,62.67,20.26,5276.97,5.28,-83.9313739229153,49.2339683038052,0.5,0.381623774204941,850,7,11,"4","3",0.0888060198148048,1,"33"
"65","HEA14_1996_1039",1,520.05,229.15,1996,448,448,100,72.75,1983472.5986882,100,1.344,9.7,145,52.5,94.6,57.3,22.4,72.75,20.39,5158.51,5.16,-81.9456658855335,50.0158216284355,0.353553390593274,0.321149811366958,899,2,0,"1","1",0.126394960371396,1,"34"
"66","HEA16_1992_418",1,535.28,491.16,1992,2476,2517,98.4,99.77,4060840.66349134,100,7.551,7.7,166.3,48.9,90.3,53.1,26.7,99.77,20.03,4989.07,4.99,-82.0726473523273,49.9284693977105,0.5,0.371551723789218,865,12,3,"2","2",0.276096882941149,1,"35"
"67","HEA20_2010_1770",1,620.33,395.19,2010,1160,1202,96.5,87.56,3732153.50599456,100,3.606,7.7,218.6,63.8,90,64.2,20.4,87.56,20.59,5610.52,5.61,-81.9345060840492,48.9768643569534,0,0.155068229579066,936,2,0,"1","1",0.341643594229626,1,"36"
"68","HEA21_1991_512",1,426.4,300.23,1991,2534,2763,91.7,109.33,8615801.4837576,100,8.289,8.3,463.2,67,91.6,96.2,26,109.33,20.4,4412.43,4.41,-84.5553360347327,49.2239611024541,0.612372435695794,0.625484688700566,872,13,2,"1","1",0.137135407144494,1,"37"
"69","HEA27_1996_270",1,427.59,303.25,1996,4484,4501,99.6,107.55,29297374.4407561,100,13.503,8.4,179.9,61.2,90.8,65.4,21.6,107.55,21.23,4954.27,4.95,-84.955130665385,49.9867371674805,0.5,0.388913937844443,861,5,3,"2","2",0.201773980250459,1,"38"
"70","HEA31_2010_1768",1,443.59,202.5,2010,1322,1326,99.7,110.63,8200201.48387634,99.9999999999998,3.978,7.3,256.2,49.6,89.1,65.3,19.6,110.63,20.44,5313.37,5.31,-82.0468452033524,49.7593338091029,0.5,0.414329606639786,935,2,0,"1","1",0.162418350164033,1,"39"
"71","HEA3_1999_1069",1,447.17,321.05,1999,376,402,93.5,108.79,1707986.7765728,100,1.206,14,99.9,41,91.7,42.1,22.5,108.79,20.34,5463.18,5.46,-84.5955124654891,49.4132124632742,0.707106781186548,0.76595095263287,900,11,4,"2","2",0.449526320855146,1,"40"
"72","HEA48_1995_222",1,321.18,248.94,1995,61824,77286,80,155.86,270206443.4498,99.9999999999999,231.858,8.6,483.1,77.1,90.5,107.8,25.9,155.86,20.46,4880.34,4.88,-83.7795138173219,48.8466456791832,0.612372435695794,0.750143993911147,859,9,6,"3","2",0.300698326878383,1,"41"
"73","HEA54_1995_1000",1,568.37,347.62,1995,34521,34548,99.9,88.54,53259662.2281285,100,103.644,6.4,431.3,60.4,83.9,88.1,19.4,88.54,21.06,5017.37,5.02,-85.0630382989351,50.0292419969366,0,0.257526193046093,1563,6,1,"1","1",0.199465830728338,1,"42"
"74","HEA63_2005_1511",1,658.79,256.79,2005,457,460,99.3,85.64,710188.375957708,100,1.38,9.2,438.5,41.6,89.5,65.6,20.5,85.64,20.49,5046.23,5.05,-83.7972305520999,49.4070743746178,0,0.224394808621346,918,2,0,"1","1",0.111758181552905,1,"43"
"75","HEA9_2012_1920",1,390.92,297.79,2012,1331,1381,96.4,138.21,11507810.142445,99.9999999999999,4.143,12.7,87.3,35.3,89.7,36.2,20.6,138.21,20.86,5563.49,5.56,-82.6304357513491,48.7644675468567,0,0.326888530143763,949,2,0,"1","1",0.320272516452218,1,"44"
"76","KEN100_1995_159",1,369.22,198.46,1995,219,1140,19.2,116.48,4211207.343983,99.9999999999999,3.42,6.4,282.5,84.8,85.6,94,21.2,116.48,20.65,5826.05,5.83,-94.6713139376638,50.1466504148418,1.22474487139159,1.75109636855045,1242,11,1,"1","1",0.985009668144409,1,"45"
"78","KEN110_2003_1423",1,505.27,91.96,2003,798,4495,17.8,108.74,7497203.57699075,100,13.485,5.8,412.9,34.3,90.3,56.3,16,108.74,20.47,5006.26,5.01,-94.7844717750383,49.8746210197377,1.22474487139159,1.54981601611152,1269,8,9,"3","2",0.849709303388549,1,"46"
"79","KEN115_1995_1049",1,316.36,96.41,1995,487,555,87.7,105.93,3145504.55600627,100,1.665,5.4,257.2,80.2,85.1,88.2,15.7,105.93,20.38,5743.34,5.74,-93.386295097551,50.4364459723968,1.36930639376292,1.90370328168153,1261,10,1,"1","1",0.765883676883797,1,"47"
"81","KEN27_2011_1832",1,574.25,143.48,2011,431,437,98.6,78.49,640700.430560421,100,1.311,6.5,256.7,40.1,90,57.7,13.9,78.49,21.18,5317.49,5.32,-93.5915744605751,50.2329382995913,0.790569415042095,0.985070131909153,1282,2,0,"1","1",0.350835665494016,1,"48"
"84","KEN91_2011_1748",1,502.54,266.69,2011,123,272,45.2,95.52,549471.069929542,100,0.816,5.1,250.9,33.7,89.9,49.1,13.7,95.52,20,3118.79,3.12,-94.5834253683491,49.3262191455129,0.612372435695794,0.891134521909034,1279,2,0,"1","1",0.112570459408936,1,"49"
"86","KLK13_2012_1856",1,578.42,198.8,2012,2293,3188,71.9,83.96,12600880.9192852,100,9.564,6.3,140.1,41.1,87,45.8,14.4,83.96,20.78,5362.14,5.36,-80.5145741746669,47.7649294959944,0.707106781186548,0.968958617303044,944,2,0,"1","1",0.560924324933168,1,"50"
"89","KLK8_2012_1841",1,584.24,346.81,2012,4900,11586,42.3,92.67,45983388.395083,99.9999999999997,34.758,8.9,121.3,38.1,90.2,43.8,18.5,92.67,20.44,5714.8,5.71,-80.069617847284,48.1907353927016,1.06066017177982,1.4434355585407,942,2,0,"1","1",0.95720420039036,1,"51"
"90","KLK9_2003_1496",1,502.32,50.62,2003,5,5,100,94.07,1814081.68216479,100,0.015,7.5,137.2,43.7,90.4,49.7,15.9,94.07,19.79,5934.71,5.93,-80.1402759410185,48.5946381347389,0.707106781186548,0.869574827237044,915,4,14,"4","3",0.269860605911858,1,"52"
"91","KLK9_2004_1508",1,539.37,-67.31,2004,697,697,100,81.85,1270226.71307962,100,2.091,3.6,201.2,12,81.9,20.7,5.6,81.85,19.74,6007.19,6.01,-80.1122633982513,48.6252652950323,0.353553390593274,0.34516085775473,917,3,15,"4","3",0.0819198871259652,1,"53"
"93","NIP12_1999_502",1,500.04,312.63,1999,88351,128286,68.9,110.92,483273956.634487,99.9999999999998,384.858,14.4,91.4,37.8,91.7,38.8,24,110.92,18.78,5243.32,5.24,-88.0690481158716,49.605563611457,0.790569415042095,1.40384569755708,1364,3,4,"2","2",0.641968932497895,1,"54"
"94","NIP151_2006_1592",1,385.28,408.68,2006,280,348,80.5,153.02,1125251.47694798,100,1.044,6.3,351.9,48.1,87.8,69.2,15,153.02,19.87,5142.99,5.14,-87.5293313581607,50.1750297083331,0.707106781186548,1.09819512511814,1453,5,13,"4","3",0.615951480159593,1,"55"
"95","NIP154_1995_756",1,582.31,204.32,1995,25887,27184,95.2,74.71,46814100.4718383,100,81.552,8.3,458.5,66.6,87.1,95.3,25.8,74.71,20.2,4515.47,4.52,-86.3923197041073,49.7810370079001,0.5,0.450509355942673,1384,7,1,"1","1",0.0611493264935502,1,"56"
"96","NIP16_2002_77",1,357.25,310.79,2002,5418,9396,57.7,137.81,38375903.6964257,99.9999999999999,28.188,4.3,146.5,23.7,86.3,30.7,8.9,137.81,17.9,1797.88,1.8,-88.5210232179708,48.4944872769025,0.612372435695794,0.959807278912164,1331,4,8,"3","2",0.00274223632748579,1,"57"
"97","NIP17_2003_1485",1,449.46,98.64,2003,395,396,99.7,81.83,3486239.41128443,100,1.188,11.6,112.8,48.9,93.2,49.1,23.8,81.83,18.05,5360.41,5.36,-88.0708683805612,50.2281279154472,0.612372435695794,0.695368471798465,1431,4,10,"4","3",0.0651184258847166,1,"58"
"100","NIP245_2006_1605",1,599.85,291.94,2006,1661,2016,82.4,95.17,3161535.63562094,100,6.048,5.1,434.6,42.2,85.1,65.9,12.1,95.17,19.06,5427.22,5.43,-87.866142245259,49.2476079835021,0.866025403784439,1.21598996477405,1461,5,12,"4","3",0.539566646622052,1,"59"
"101","NIP24_2001_7",1,454.61,82.61,2001,90,90,100,64.05,1369533.36300991,100,0.27,8.3,180.9,57.9,91.2,63.3,21.3,64.05,19.9,4983.17,4.98,-86.9912453404263,50.9132849673204,0,0.265582737786838,65,3,8,"3","2",0.0331284763563866,1,"60"
"107","NIP291_2006_1611",1,612.39,221.3,2006,501,651,77,63.58,996694.263498579,99.9999999999999,1.953,4.9,439.5,39.7,83.6,62.7,11,63.58,18.2,5237.64,5.24,-87.6222948543446,49.0050899688336,2.57390753524675,3.04376010927294,1466,5,12,"4","3",0.925807440750763,1,"61"
"109","NIP29_1997_412",1,430.51,340.85,1997,218,232,94,115.43,777937.533024555,100,0.696,4.8,218.7,52.3,87.9,58.9,13.4,115.43,16.01,4511.89,4.51,-88.4654101543597,49.6459683937362,0.612372435695794,0.82864090347167,1357,3,3,"2","2",0.0365782201990654,1,"62"
"112","NIP327_2006_1596",1,534.34,290.98,2006,2285,2614,87.4,114.62,6943554.73517447,99.9999999999999,7.842,4.9,440.6,53.5,88.3,80.9,16.6,114.62,17.79,5245.48,5.25,-88.906639016109,49.4482220889149,0.790569415042095,1.08096357255862,1454,5,12,"4","3",0.285718112803992,1,"63"
"113","NIP328_2006_1608",1,586.94,396.51,2006,1409,2142,65.8,96.6,3679558.36991433,100,6.426,5.4,440,52.6,88.3,80.2,18,96.6,20.54,5440.6,5.44,-88.9243909788793,49.2022722359743,0,0.510884800483535,1463,5,12,"4","3",0.631557503299416,1,"64"
"117","NIP344_2006_1643",1,493.64,211.08,2006,2298,3361,68.4,95.34,11748660.4735434,100,10.083,5.5,424.4,38,87.1,61.5,11.9,95.34,19.7,5079.3,5.08,-86.7037180709418,49.4517264828787,1.22474487139159,1.53346914486607,1482,5,12,"4","3",0.626462645051574,1,"65"
"118","NIP35_2010_1767",1,535.58,245.68,2010,210,210,100,79.72,919605.029837511,100,0.63,8.8,176.3,30.4,89,42.1,16.2,79.72,20.23,4682.18,4.68,-87.6440730764754,50.2571249874349,0.5,0.400463726441122,1511,2,0,"1","1",0.0760626596519161,1,"66"
"121","NIP391_2006_1575",1,637.33,258.09,2006,4760,6562,72.5,84.66,10160310.2693985,100,19.686,4.4,431.2,36.8,85.3,58.8,10.2,84.66,19.04,5097.09,5.1,-87.1153347938823,49.0521083985599,1.4142135623731,2.51031549857976,1450,5,12,"4","3",0.882611561849319,1,"67"
"122","NIP39_1996_236",1,486.11,181.51,1996,21024,23857,88.1,88.6,157294484.840117,99.9999999999999,71.571,7.2,227.4,70.9,90,79.6,20.9,88.6,19.8,4647.21,4.65,-86.943397355163,49.3380085896885,1.22474487139159,1.75923450374534,1343,9,2,"1","1",0.423870981738947,1,"68"
"129","NIP411_2006_1657",1,524.36,307.15,2006,6900,7091,97.3,106.14,13432995.7937651,100,21.273,6,427.4,37.6,86.5,60.6,13.1,106.14,19.6,5007.57,5.01,-86.5524658630578,49.279926260876,1.2747548783982,1.70748092650558,1494,5,12,"4","3",0.563889278268079,1,"69"
"132","NIP415_2006_1645",1,676.84,294.33,2006,345,659,52.4,85.1,1001005.09566005,100,1.977,6.6,442,40.5,88.7,64.7,18.1,85.1,19.52,5035.68,5.04,-86.7112469032969,49.4269694634968,1.11803398874989,1.42320934481053,1484,5,12,"4","3",0.737780668406377,1,"70"
"135","NIP430_2006_1637",1,527.82,154.4,2006,695,760,91.4,81.63,1174759.78299397,100,2.28,5.4,427.3,47.1,86.7,72.7,13.7,81.63,15.88,4853.52,4.85,-88.6265562239611,49.5605184234064,1.45773797371133,2.81448475309054,1476,3,15,"4","3",0.477206451241206,1,"71"
"137","NIP44_1996_1211",1,473.4,193.12,1996,44327,47480,93.4,82.13,285078679.166435,99.9999999999998,142.44,7,228.4,71,89.7,78.6,21.2,82.13,19.67,4789.61,4.79,-86.8076927584103,49.2016354880187,1.54110350074224,2.10612239850268,1418,10,2,"1","1",0.565833691993021,1,"72"
"138","NIP46_1996_726",1,431.21,311.76,1996,16359,21465,76.2,118.13,99312279.3200026,99.9999999999999,64.395,6.3,221.3,71,90.3,75.6,17.3,118.13,20.52,4644.62,4.64,-88.9928164285393,49.2036672965091,0.790569415042095,1.35007391899625,1379,13,1,"1","1",0.550525315532348,1,"73"
"139","NIP49_1996_366",1,429.67,270.12,1996,61419,66372,92.5,105.56,214293938.125148,100,199.116,7,235.2,71.2,89.9,80.3,20.7,105.56,19.99,4664.68,4.66,-87.2780413189822,49.3650853500169,0.866025403784439,1.20245017707598,1355,10,1,"1","1",0.300793415213386,1,"74"
"140","NIP51_1996_620",1,598.67,199.4,1996,56733,57375,98.9,70.28,227471983.104241,97.238277615771,172.125,8.5,199.6,59.2,89,65.4,18,70.28,20.14,4460.54,4.46,-87.2299740619295,50.6634902603295,0.612372435695794,0.782064454372733,289,2,3,"2","2",0.0876590792690755,1,"75"
"141","NIP52_2005_1522",1,618.37,275.55,2005,431,882,48.9,74.11,2230989.55014553,100,2.646,8,274.2,35.7,88.5,50.6,17.9,74.11,19.95,5062.2,5.06,-88.5035949434968,49.063714065761,1.11803398874989,1.34123016311048,1434,6,11,"4","3",0.755137898619299,1,"76"
"142","NIP58_2003_1421",1,615.79,153.14,2003,1510,1619,93.3,80.61,12592536.0798012,99.9999999999998,4.857,9.3,272.1,70.6,91.4,83.8,26,80.61,20.12,5293.33,5.29,-87.6215574650574,49.9141960949464,0.5,0.465946672577157,1429,5,7,"3","2",0.148328542143828,1,"77"
"143","NIP60_1996_227",1,480.35,145.21,1996,13922,14130,98.5,101.11,37117188.0611087,100,42.39,9.4,205.8,60.2,89.6,66.4,20.5,101.11,20.24,4540.65,4.54,-86.6854022694347,50.6355076982536,0.612372435695794,0.742617004470474,172,3,3,"2","2",0.0744679791886936,1,"78"
"144","NIP61_1996_318",1,612.97,367.92,1996,753,950,79.3,63.9,2745023.68079985,99.9999999999999,2.85,9.6,195.5,69.2,92.3,72.2,22.3,63.9,20.18,4606.58,4.61,-87.2904859779695,49.8213354846726,0.707106781186548,0.765368214084839,1352,5,3,"2","2",0.321964630102694,1,"79"
"145","NIP63_1996_1056",1,290.48,220.03,1996,1120,1171,95.6,146.22,9197766.87279394,99.9999999999999,3.513,6.3,220.3,71.1,90.3,75.8,17.3,146.22,20.52,4644.62,4.64,-89.0022042917883,49.1885241558158,1.17260393995586,1.87652792541563,1400,14,1,"1","1",0.524695007473902,1,"80"
"146","NIP64_1996_782",1,481.77,243.17,1996,7059,7242,97.5,99.43,31412707.5044695,99.9999999999999,21.726,9.6,195,68.4,92.4,71.7,22.3,99.43,20.36,4639.62,4.64,-87.2848251173456,49.8642193711225,0.707106781186548,0.902622492748825,1385,5,3,"2","2",0.182544205971166,1,"81"
"147","NIP65_1996_1146",1,543.78,466.42,1996,2257,2262,99.8,87.36,4105948.18441408,100,6.786,9.8,192.4,66.3,89.9,70.1,22.3,87.36,20.11,4519.68,4.52,-87.020988802149,50.0098716687504,0.353553390593274,0.372736238745467,1414,5,3,"2","2",0.151474517572688,1,"82"
"148","NIP66_2011_1835",1,571.93,116.28,2011,362,389,93.1,81.94,2003185.51067767,99.9999999999999,1.167,6.2,282.5,26.4,88.5,42.1,14.1,81.94,19.83,4732.4,4.73,-86.6060264658459,49.4216511771726,1.06066017177982,1.93191376345719,1518,2,0,"1","1",0.417460638362627,1,"83"
"149","NIP75_2002_76",1,491.29,130.27,2002,33490,38104,87.9,89.2,198832252.226525,99.9999999999998,114.312,4.7,316.2,49.1,87.6,68.1,12.4,89.2,19.7,5106.96,5.11,-86.9366168219474,49.0551819554882,1.62018517460197,2.27688102454962,1330,8,7,"3","2",0.697918373221332,1,"84"
"150","NIP77_2001_49",1,414.17,107.47,2001,13,13,100,55.09,892520.278842677,100,0.039,3.6,309.7,23.7,75.5,39.6,3.2,55.09,19.94,5155.9,5.16,-87.1757065721972,50.0632952662415,0.935414346693485,1.10172931924039,1329,5,8,"3","2",0.209427575526429,1,"85"
"151","NIP79_1996_1296",1,631.41,190.02,1996,1349,1377,98,65.28,6450926.09122871,100,4.131,8.6,199.2,59,89.2,65.2,18.1,65.28,20.14,4460.54,4.46,-87.1864261509056,50.6899811699617,0.707106781186548,0.911120771877027,500,3,3,"2","2",0.107873561089626,1,"86"
"152","NIP80_1996_310",1,573.72,390.11,1996,823,1195,68.9,95.23,3083036.67591034,100,3.585,5.9,217.1,71.3,89.8,76.3,17.3,95.23,20.41,4615.5,4.62,-89.0795018241017,49.1620895573515,0.612372435695794,0.80493587345098,1350,14,1,"1","1",0.451539554130399,1,"87"
"153","NIP80_2005_1523",1,646.96,220.68,2005,36529,49858,73.3,76.8,80200861.7755622,100,149.574,6.7,336.5,44.6,88.4,64.5,18.4,76.8,16.02,4739.34,4.74,-88.6243690907847,49.6080922595905,0.5,1.40927260903086,1435,3,11,"4","3",0.159143151475979,1,"88"
"154","NIP81_2006_1684",1,477.37,179,2006,172,226,76.1,115.75,890014.960694011,100,0.678,7.2,250.3,35.4,90.8,52,19.1,115.75,19.69,5089.03,5.09,-87.3734949806544,50.7480214165379,1.3228756555323,1.44968692249188,594,3,13,"4","3",0.510649459751986,1,"89"
