,Fire_ID,Average Recovery
471,SLK137_1998_402,64.47
472,FOR3_2010_1771,94.66
473,SLK46_1996_506,69.37
474,RED60_2002_175,57.02
475,GER120_1989_1192,77.27
476,NIP64_2017_1957,86.96
477,SIO42_1986_1188,47.57
478,RED232_1988_941,66.77
479,RED17_1996_652,86.82
480,NIP22_1995_543,79.67
481,SLK63_1998_337,72.21
482,NIP61_1999_689,81.06
483,SLK50_2011_1805,66.42
484,RED4_2014_2019,99.03
485,SIO30_1992_1041,83.14
486,RED28_1989_630,80.77
487,THU65_1998_754,82.54
488,NOR62_2018_2053,63.35
489,NIP156_1998_1276,83.09
490,NIP26_1994_695,73.03
491,RED24_2019_2186,48.44
492,SLK33_2017_2106,46.93
493,SIO48_1993_588,84.93
494,SIO139_1989_1267,92.27
495,GER25_1987_1050,82.68
496,SLK64_2010_1733,74.45
497,SIO72_1991_699,72.15
498,NIP112_2005_1518,110.25
499,SLK37_1999_1203,74.31
500,SLK30_2015_1975,67.36
501,COC20_2018_2041,34.46
502,SIO22_1989_111,113.83
503,NIP189_2006_1580,93.67
504,RED47_2006_1600,75.75
505,RED17_2015_1993,57.91
506,NIP32_2017_2024,64.5
507,SLK58_2003_1412,87.05
508,SLK38_1999_1310,69.05
509,SLK76_2011_1810,85.18
510,SLK94_2003_1494,73.86
511,SLK76_1995_567,75.04
512,COC16_2009_1720,87.23
513,GER38_1989_732,67.48
514,RED57_2012_1845,77.69
515,RED26_2010_1755,84.62
516,RED129_1995_524,71.45
517,RED121_2011_1722,57.56
518,SLK40_2006_1672,74.0
519,RED115_2018_2156,52.4
520,SIO96_1991_659,94.64
521,RED26_1999_794,91.58
522,RED36_1991_460,71.67
523,RED10_2009_1716,81.75
524,NIP101_2002_176,96.35
525,THU19_2016_2001,81.81
526,RED112_1989_201,74.31
527,GER72_1989_386,66.65
528,GER77_1989_945,71.81
529,SIO71_1988_343,80.66
530,SLK18_2013_1878,72.75
531,GER70_1991_449,70.62
532,RED7_1986_119,93.62
533,RED75_1989_1191,85.73
534,SLK88_2011_1786,73.96
535,FOR10_1991_317,111.25
536,GER19_1989_643,74.38
537,RED29_2011_1809,60.18
538,SLK25_2013_1861,78.65
539,NIP136_1995_1299,74.13
540,GER12_1986_801,48.43
541,COC33_1995_903,74.52
542,RED13_1990_645,60.81
543,FOR5_2000_33,77.38
544,RED195_2006_1631,65.07
545,NIP81_2002_96,49.45
546,SLK81_1995_1042,51.81
547,COC38_1998_546,79.02
548,THU66_2003_1537,75.13
549,COC36_1995_847,76.76
550,SLK80_1999_1544,65.68
551,SLK71_2012_1914,106.81
552,SLK38_2019_2167,34.02
553,RED184_2006_1678,75.51
554,SIO45_1993_265,48.37
555,SLK68_2017_2101,68.31
556,RED34_2017_2025,63.15
557,RED23_2011_1795,83.57
558,GER36_1991_1165,103.48
559,RED16_2015_1994,108.84
560,FOR6_1998_258,95.7
561,NIP164_1998_1080,86.56
562,RED23_2017_1941,75.4
563,SLK101_2003_1480,91.52
564,NIP16_2018_2157,61.84
565,RED34_2012_1925,93.03
566,NIP121_1998_602,68.77
567,SLK65_2003_1488,90.71
568,RED44_2006_1683,79.69
569,NIP51_2020_2206,52.49
570,SIO133_1989_1335,77.38
571,RED67_2011_1724,6.39
572,NIP120_1998_665,144.3
573,NIP12_2016_2003,91.38
574,SIO95_1989_1229,71.31
575,SLK47_1995_323,76.71
576,RED62_2001_45,85.06
577,NIP74_2001_70,69.58
578,RED29_1989_827,58.79
579,THU65_2012_1859,90.96
580,RED59_2015_1962,68.3
581,NIP82_1995_463,73.38
582,THU95_1996_962,54.52
583,NIP81_1996_114,86.21
584,KEN1_2014_2018,96.12
585,NIP34_2011_1696,83.75
586,RED86_2018_2060,68.15
587,SLK33_1999_1282,62.44
588,RED8_2014_1882,78.8
589,SLK12_2002_55,88.18
590,NOR55_2018_2141,74.05
591,RED8_1987_393,79.35
592,GER51_1989_968,78.3
593,COC12_2002_53,80.84
594,RED22_2011_1797,68.73
595,RED23_1996_1002,80.01
596,SLK1_2002_16,65.49
597,NIP81_2003_1437,75.33
598,SLK23_2017_2077,44.6
599,NIP118_1998_1372,60.82
600,GER36_1992_868,69.43
601,NIP11_2017_2104,87.2
602,GER28_1990_376,70.39
603,SLK55_2018_2143,79.49
604,RED63_1989_1231,71.97
605,SLK78_1998_477,80.95
606,RED83_1995_959,64.37
607,NIP42_2003_1430,63.81
608,GER26_1988_1059,84.91
609,SLK22_2018_2144,68.29
610,RED42_1989_927,76.81
611,RED37_2002_187,86.34
612,SLK121_1998_375,94.91
613,THU35_2012_1858,95.07
614,NIP98_2017_2097,83.77
615,RED35_1988_144,75.86
616,GER129_1989_489,95.87
617,RED27_2002_191,54.93
618,RED11_2015_1986,12.6
619,COC14_2009_1703,86.67
620,SLK34_2008_1666,228.53
621,NIP39_2001_2,63.08
622,SLK24_2013_1895,88.12
623,RED20_1990_1117,106.46
624,SLK47_2001_69,64.55
625,SLK157_2017_2082,58.85
626,NIP53_2001_1,74.88
627,RED21_1987_1151,99.49
628,SLK122_1998_362,82.51
629,SLK23_2009_1712,84.78
630,NIP201_1998_894,84.45
631,NIP77_2017_2079,58.35
632,FOR5_1998_1334,86.66
633,SLK75_1996_1326,69.13
634,SLK70_2003_1431,98.6
635,COC36_2018_2159,70.88
636,RED31_1989_990,54.52
637,SLK74_1998_682,105.99
638,SLK44_2017_2083,41.86
639,RED44_2015_1968,76.06
640,NIP40_2020_2211,31.24
641,SLK100_1998_1376,74.63
642,KEN186_1988_1159,95.24
643,GER71_1989_1096,66.18
644,GER96_1991_1309,88.02
645,RED61_2001_65,77.39
646,RED59_2012_1909,68.23
647,RED280_1988_517,97.15
648,SLK30_2002_184,92.61
649,RED46_2015_1996,42.76
650,COC14_2018_2126,58.94
651,NIP32_2002_188,86.62
652,SLK129_1998_666,143.64
653,NIP68_2017_2080,78.51
654,RED32_1988_1220,61.58
655,RED38_2019_2171,72.2
656,NIP40_2013_1870,71.17
657,SIO22_1990_339,40.11
658,THU59_2017_2085,65.72
659,RED2_1989_681,69.68
660,NIP18_1995_145,92.56
661,RED18_1996_559,63.86
662,SLK49_2010_1730,57.61
663,RED107_2011_1779,87.4
664,SLK147_2011_1700,71.25
665,RED170_2018_2052,54.83
666,COC25_1996_158,77.92
667,GER32_1989_272,77.82
668,RED49_2019_2189,50.16
669,RED35_1989_820,80.87
670,SLK63_2017_2096,33.75
671,GER57_1990_631,86.53
672,SIO41_1993_717,63.26
673,RED24_2013_1892,144.45
674,SIO97_1989_248,59.51
675,RED38_1998_545,57.26
676,SIO159_1988_1389,47.6
677,SIO8_1989_518,82.71
678,SLK6_2002_13,72.64
679,RED80_2018_2049,69.37
680,THU42_1996_282,64.1
681,SLK35_2013_1875,82.86
682,SLK13_2014_1881,98.25
683,RED213_1988_465,73.58
684,SLK67_2018_2123,61.64
685,RED101_2011_1802,52.76
686,SLK49_1994_538,74.69
687,GER50_1989_314,75.68
688,RED7_2009_1725,67.98
689,SLK63_1996_428,75.2
690,NIP30_2018_2115,75.26
691,SLK27_2018_2154,62.85
692,SLK48_2020_2214,45.14
693,NIP38_2017_2111,94.93
694,NIP32_2012_1929,105.58
695,SLK61_1998_960,101.91
696,RED38_2018_2029,81.4
697,RED68_2003_1428,66.48
698,RED103_2012_1757,58.91
699,NIP31_2018_2059,69.51
700,RED397_1988_825,84.23
701,THU40_1996_234,66.49
702,RED117_1989_320,67.91
703,SLK71_2011_1745,50.56
704,SLK55_2011_1741,83.16
705,NIP50_2013_1866,142.61
706,RED91_1995_1240,82.52
707,NIP35_1995_1305,96.43
708,GER14_1992_194,91.96
709,RED24_1995_1019,79.62
710,SLK111_1998_800,93.72
711,SIO7_1989_1125,85.25
712,NIP40_2018_2037,52.42
713,SLK19_2013_1871,108.94
714,NIP75_2017_1954,69.73
715,NOR19_2018_2136,59.33
716,SIO24_1992_533,84.61
717,RED320_1988_494,66.02
718,RED188_2006_1676,31.83
719,GER85_1990_135,63.49
720,SLK19_2018_2054,76.74
721,SLK74_2012_1851,71.87
722,RED5_2002_185,80.45
723,NIP59_2012_1762,94.21
724,RED113_2011_1743,72.06
725,SLK27_2013_1869,88.3
726,RED341_1988_1052,73.84
727,RED10_2015_1960,68.59
728,NIP63_2012_1764,114.73
729,SLK29_2012_1855,93.23
730,COC8_2018_2145,69.1
731,THU83_1996_292,70.5
732,SLK66_1996_1275,66.59
733,SLK77_1995_1176,77.35
734,GER80_1989_455,74.52
735,NIP61_2012_1930,86.47
736,SLK29_2016_2007,30.12
737,SLK97_2006_1591,106.31
738,NIP41_2010_1731,92.48
739,SLK113_2018_2135,45.41
740,GER59_1989_1325,76.13
741,NIP30_1999_353,88.64
742,RED14_2019_2176,77.58
743,SLK68_2002_178,91.4
744,RED76_1989_711,82.55
745,SLK38_2017_2105,50.39
746,RED62_1999_382,114.64
747,FOR30_1989_793,115.29
748,RED47_2002_92,56.89
749,THU54_1995_1157,71.92
750,SLK6_2001_37,75.97
751,RED110_2018_2030,60.84
752,THU61_2017_2087,110.38
753,RED25_2015_1983,34.05
754,RED289_1988_1156,54.85
755,RED103_2011_1812,47.5
756,NOR32_2016_2002,85.37
757,RED64_2012_1905,55.2
758,SLK18_2018_2068,71.78
759,THU49_1996_1128,79.63
760,SLK70_2011_1807,86.31
761,NIP65_2017_2103,90.33
762,NIP44_1994_346,73.9
763,RED70_2018_2149,61.26
764,SLK88_1996_656,84.71
765,RED8_2020_2198,291.86
766,RED69_2006_1673,80.56
767,NIP26_2001_47,57.76
768,SLK4_2002_17,91.31
769,RED32_2010_1751,69.39
770,SLK120_1998_1148,79.27
771,SIO156_1989_1102,74.31
772,RED71_1998_380,102.3
773,GER35_1989_1301,61.98
774,SIO101_1989_1327,78.06
775,SLK74_1996_261,83.36
776,RED124_2011_1958,48.62
777,SLK124_1998_327,74.78
778,GER60_1990_792,104.21
779,NIP54_2001_40,78.71
780,SLK127_1998_287,69.32
781,SLK26_2017_2089,35.8
782,SLK65_2011_1822,71.75
783,RED35_1993_1147,75.43
784,RED3_2016_2005,70.78
785,NIP83_2002_88,75.02
786,SLK58_1994_132,64.28
787,NIP110_1998_914,84.37
788,SLK52_1995_354,95.16
789,NIP126_1998_844,76.65
790,RED63_2012_1923,73.84
791,SIO44_1993_500,71.69
792,GER21_1987_831,98.86
793,NIP49_1994_1228,106.32
794,SLK14_1995_425,87.79
795,RED29_2020_2204,23.03
796,SLK49_2018_2128,57.55
797,GER29_1986_385,60.32
