Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
NIP42_2003_1430,19.83,4932.14,4.93
NIP43_1995_1286,20.37,4508.61,4.51
NIP43_1996_910,19.9,4912.4,4.91
NIP43_1999_421,18.65,4502.99,4.5
NIP44_1994_346,19.12,4872.1,4.87
NIP44_1995_1225,20.68,4611.21,4.61
NIP44_2000_29,19.43,5102.66,5.1
NIP45_2010_1752,20.02,5067.58,5.07
NIP47_2002_182,18.84,4442.69,4.44
NIP47_2011_1698,19.49,4823.52,4.82
NIP48_1996_1078,20.19,4595.52,4.6
NIP48_2002_180,18.8,4404.64,4.4
NIP49_1994_1228,20.02,4785.29,4.79
NIP49_2012_1763,19.07,4489.08,4.49
NIP50_1995_1136,18.9,4669.23,4.67
NIP50_1996_355,20.36,4495.99,4.5
NIP51_2002_94,20.46,4962.59,4.96
NIP52_1999_664,20.65,5175.25,5.18
NIP52_2001_3,19.05,4959.71,4.96
NIP53_2001_1,19.01,4883.79,4.88
NIP54_1995_915,19.96,4751.06,4.75
NIP54_2001_40,18.84,4633.92,4.63
NIP54_2002_173,19.43,4966.33,4.97
NIP54_2011_1735,20.07,4955.53,4.96
NIP55_2001_66,18.59,4738.68,4.74
NIP55_2002_164,19.01,4785.24,4.79
NIP55_2011_1811,20.03,4949.98,4.95
NIP56_2002_174,19.95,4585.79,4.59
NIP58_1996_457,20.25,4543.08,4.54
NIP58_2007_1563,19.61,5089.16,5.09
NIP59_1994_1114,19.58,4930.36,4.93
NIP59_1996_1179,20.19,4605.91,4.61
NIP59_2003_1555,20.31,4968.07,4.97
NIP59_2012_1762,19.93,5138.55,5.14
NIP60_2012_1848,20.23,4775.86,4.78
NIP61_1994_342,20.51,4689.88,4.69
NIP61_1999_689,18.74,4743.62,4.74
NIP61_2012_1930,19.97,5216.98,5.22
NIP62_1994_758,19.53,4913.26,4.91
NIP62_1996_627,20.04,4562.63,4.56
NIP62_1999_361,18.67,4455.87,4.46
NIP62_2012_1912,20.98,4687.0,4.69
NIP63_2012_1764,20.43,4664.01,4.66
NIP64_1995_262,19.9,4767.82,4.77
NIP66_1995_1281,20.1,4739.82,4.74
NIP66_1996_970,18.44,4740.2,4.74
NIP68_1996_1358,19.7,4818.07,4.82
NIP68_2003_1407,19.0,4683.2,4.68
NIP70_2006_1583,19.61,5357.41,5.36
NIP72_2001_68,19.04,4393.27,4.39
NIP72_2003_1483,18.96,4678.69,4.68
NIP73_2001_41,18.48,4746.58,4.75
NIP74_2001_70,18.59,4738.68,4.74
NIP75_1994_1469,18.69,4433.05,4.43
NIP75_1995_140,20.0,4742.65,4.74
NIP76_1996_1383,20.19,4740.96,4.74
NIP79_2002_189,19.41,4690.51,4.69
NIP79_2003_1558,20.21,4675.71,4.68
NIP81_1996_114,19.39,4957.33,4.96
NIP81_2002_96,19.7,5160.13,5.16
NIP81_2003_1437,19.35,4755.81,4.76
NIP82_1995_463,19.08,4850.18,4.85
NIP82_1996_776,19.12,4862.94,4.86
NIP83_1996_805,19.34,4723.08,4.72
NIP83_2002_88,19.42,4640.51,4.64
NIP8_1992_1093,19.8,5013.89,5.01
NIP92_2003_1402,19.3,4740.64,4.74
NIP95_2003_1500,18.78,4555.55,4.56
NIP99_1999_508,19.27,5101.72,5.1
PET1_2001_50,21.88,5077.53,5.08
PET5_1998_1317,22.53,4134.18,4.13
RED100_2011_1783,20.19,4655.0,4.65
RED101_2011_1802,20.54,4554.81,4.55
RED103_2011_1812,20.64,5042.45,5.04
RED103_2012_1757,20.31,4618.42,4.62
RED106_2011_1803,20.3,4758.99,4.76
RED107_2011_1779,19.66,4477.85,4.48
RED10_2009_1716,20.42,4998.51,5.0
RED111_1989_1312,19.59,4487.11,4.49
RED111_2011_1742,20.73,5119.31,5.12
RED112_1989_201,19.97,4537.95,4.54
RED112_2011_1744,20.73,5119.31,5.12
RED113_2006_1629,19.88,4988.65,4.99
RED113_2011_1743,20.69,5101.11,5.1
RED114_2011_1778,21.05,4928.6,4.93
RED117_1989_320,19.53,4348.19,4.35
RED118_2011_1780,20.11,4588.4,4.59
RED11_1986_1291,19.82,4212.43,4.21
RED11_2007_1562,18.29,4520.0,4.52
RED120_1988_1272,20.36,4477.8,4.48
RED120_2011_1793,20.86,4748.72,4.75
RED121_2011_1722,20.53,5099.37,5.1
RED122_2011_1794,20.53,4819.9,4.82
RED123_2011_1790,20.73,4756.87,4.76
RED124_2011_1958,21.14,4980.79,4.98
RED129_1995_524,19.4,4765.46,4.77
RED12_2000_25,19.28,5427.42,5.43
RED13_1990_645,19.81,4830.79,4.83
RED13_1996_1388,19.49,5329.04,5.33
RED146_2006_1628,19.92,5070.46,5.07
RED14_1986_1055,20.22,4290.75,4.29
RED14_1990_966,19.24,4668.51,4.67
RED14_1996_764,19.6,5330.28,5.33
RED14_2000_57,19.38,5393.24,5.39
RED14_2006_1594,19.85,5021.34,5.02
RED15_1990_867,19.43,4641.13,4.64
RED15_1991_1027,19.31,4828.08,4.83
RED15_2006_1595,19.86,4964.17,4.96
RED163_2006_1625,19.9,5099.0,5.1
RED164_2006_1630,19.78,5109.54,5.11
RED16_1990_796,19.69,4872.53,4.87
RED16_2006_1679,19.78,4975.01,4.98
RED175_2006_1577,20.12,5110.17,5.11
RED176_2006_1632,19.89,5075.32,5.08
RED177_2006_1579,19.98,5058.31,5.06
RED17_1996_652,19.81,5482.91,5.48
RED182_2006_1626,19.98,5012.42,5.01
RED183_2006_1627,19.86,5063.06,5.06
RED184_2006_1678,19.81,4964.48,4.96
RED186_2006_1677,19.96,4891.92,4.89
RED188_2006_1676,19.8,4926.69,4.93
RED18_1996_559,18.98,5194.02,5.19
RED192_2006_1680,19.96,4881.22,4.88
RED193_2006_1682,19.82,4948.93,4.95
RED195_2006_1631,19.78,5068.82,5.07
RED19_1988_341,20.26,4525.05,4.53
RED19_1995_1020,19.64,5498.53,5.5
RED19_1996_198,19.6,5133.64,5.13
RED19_1999_219,20.0,5892.21,5.89
RED1_1989_955,19.43,4057.99,4.06
RED1_2002_15,19.09,4274.39,4.27
RED1_2010_1754,20.51,5321.36,5.32
RED208_1988_862,20.7,5199.89,5.2
RED20_1990_1117,19.75,4864.11,4.86
RED20_1995_536,19.85,5448.56,5.45
RED20_1996_431,19.68,5562.71,5.56
RED213_1988_465,20.95,5142.01,5.14
RED214_1988_982,21.02,5150.13,5.15
RED219_1988_1425,21.33,5138.01,5.14
RED21_1987_1151,20.22,4501.94,4.5
RED21_1990_632,19.93,4955.86,4.96
RED21_1995_1324,19.65,5334.35,5.33
RED21_1996_1454,19.44,5403.96,5.4
RED21_2002_170,19.93,5205.79,5.21
RED221_1988_1170,20.89,5089.82,5.09
RED22_1987_1346,20.14,4389.72,4.39
RED22_1991_263,18.31,4970.63,4.97
RED22_1993_309,19.88,5139.92,5.14
RED22_1995_901,19.55,5413.0,5.41
RED22_1998_1213,19.26,5292.62,5.29
RED22_2011_1797,20.36,4661.1,4.66
RED231_1988_1384,20.94,5213.83,5.21
RED232_1988_941,21.33,5138.01,5.14
RED233_1988_594,21.12,5084.71,5.08
RED235_1988_849,21.33,5138.01,5.14
RED238_1988_550,21.39,5188.56,5.19
RED23_1996_1002,19.16,5214.87,5.21
RED23_2002_168,19.54,5192.72,5.19
RED23_2011_1795,20.77,4794.6,4.79
RED24_1986_950,19.86,4179.84,4.18
RED24_1995_1019,19.62,5532.29,5.53
RED24_1996_713,19.49,5243.6,5.24
RED24_2011_1796,20.54,4656.37,4.66
RED26_1998_1443,18.78,4753.27,4.75
RED26_1999_794,19.04,4970.26,4.97
RED26_2010_1755,20.59,5424.56,5.42
RED26_2011_1806,20.41,4625.12,4.63
RED27_1988_1051,20.5,4764.02,4.76
RED27_1989_762,20.01,4671.15,4.67
RED27_1995_1226,19.64,5600.22,5.6
RED27_1996_889,19.38,4961.48,4.96
RED27_2002_191,19.48,5142.23,5.14
RED27_2011_1701,20.58,4714.65,4.71
RED280_1988_517,21.36,5199.96,5.2
RED284_1988_1119,21.04,5207.34,5.21
RED289_1988_1156,20.41,4621.04,4.62
RED28_1987_634,20.21,4784.56,4.78
RED28_1989_630,20.21,4714.24,4.71
RED28_1996_846,19.2,4940.17,4.94
RED28_2012_1849,19.63,4888.21,4.89
RED29_1989_827,19.93,4613.13,4.61
RED29_1993_406,20.11,5305.02,5.31
RED29_1995_484,19.64,5600.23,5.6
RED29_1996_1235,19.34,5114.47,5.11
RED29_2011_1809,20.57,4741.45,4.74
RED2_1989_681,19.38,4023.35,4.02
RED309_1988_753,19.94,4305.42,4.31
RED30_1989_199,20.08,4549.2,4.55
RED30_1996_824,20.01,5229.26,5.23
RED31_1989_990,19.95,4604.18,4.6
RED31_1990_251,19.75,4920.5,4.92
RED31_1993_549,19.88,5317.27,5.32
RED31_2006_1578,20.4,5093.38,5.09
RED320_1988_494,20.48,4752.67,4.75
RED324_1988_547,20.35,4600.01,4.6
RED32_1988_1220,20.29,4784.37,4.78
RED32_1989_746,19.96,4613.5,4.61
RED32_2010_1751,20.47,4998.37,5.0
RED32_2011_1789,20.46,4812.5,4.81
RED332_1988_1126,19.64,4118.14,4.12
RED338_1988_610,20.22,4325.64,4.33
RED33_1988_921,20.2,4796.22,4.8
RED33_1989_733,19.87,4635.23,4.64
RED341_1988_1052,20.35,4499.46,4.5
RED34_1989_1259,19.65,4477.41,4.48
RED34_2002_190,19.63,5079.6,5.08
RED34_2006_1685,20.77,5680.97,5.68
RED34_2012_1925,19.8,4577.53,4.58
RED351_1988_965,20.07,4420.03,4.42
RED352_1988_642,19.42,4129.92,4.13
RED355_1988_855,19.92,4534.16,4.53
RED35_1988_144,20.06,4763.89,4.76
RED35_1989_820,19.59,4459.01,4.46
RED35_1993_1147,19.92,5338.38,5.34
RED35_1995_1344,19.65,5334.35,5.33
RED35_2011_1721,20.53,4819.9,4.82
RED364_1988_1236,19.78,4299.97,4.3
RED36_1988_1333,20.28,4562.13,4.56
RED36_1991_460,19.59,4798.85,4.8
RED36_2011_1671,20.58,4749.26,4.75
RED37_2002_187,19.9,4871.12,4.87
RED38_1998_545,19.28,4948.15,4.95
RED38_2002_186,19.9,4871.12,4.87
RED38_2012_1913,21.44,5174.2,5.17
RED390_1988_415,21.35,5133.84,5.13
RED397_1988_825,20.05,4472.37,4.47
RED39_1989_986,19.83,4451.62,4.45
RED39_1998_730,19.28,5042.74,5.04
RED39_2002_90,19.8,4767.76,4.77
RED406_1988_785,19.74,4522.77,4.52
